Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Vistara,12/04/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5403
Jet Airways,24/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,In-flight meal not included,15812
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 22 May,12h 15m,1 stop,No info,14781
Air India,6/06/2019,Delhi,Cochin,DEL → BLR → COK,13:30,23:00,9h 30m,1 stop,No info,8907
Air India,3/05/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4145
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,09:45 10 Jun,13h 20m,1 stop,No info,14151
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,06:00,15:30,9h 30m,1 stop,No info,7845
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,09:15,19:15,10h,1 stop,No info,8099
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 28 May,10h 30m,1 stop,No info,13377
Air India,12/03/2019,Banglore,New Delhi,BLR → HYD → VGA → DEL,06:50,11:20 13 Mar,28h 30m,2 stops,No info,12734
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 04 Jun,5h 35m,1 stop,In-flight meal not included,10262
