Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
268949,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Bangalore,Business,16.17,28,60978
230067,Vistara,UK-613,Mumbai,Afternoon,two_or_more,Night,Bangalore,Business,8.17,2,76034
131936,Air_India,AI-770,Kolkata,Night,one,Evening,Mumbai,Economy,23.5,29,5102
134465,Air_India,AI-402,Kolkata,Morning,one,Night,Mumbai,Economy,10.83,43,5523
28364,Vistara,UK-981,Delhi,Night,one,Evening,Kolkata,Economy,19.25,47,6598
61053,Indigo,6E-434,Mumbai,Afternoon,one,Night,Bangalore,Economy,7.58,47,2124
47515,Air_India,AI-685,Mumbai,Early_Morning,one,Evening,Delhi,Economy,11.67,24,9083
33481,GO_FIRST,G8-422,Delhi,Evening,zero,Night,Hyderabad,Economy,2.25,37,2098
217621,Vistara,UK-727,Delhi,Night,zero,Night,Kolkata,Business,2.25,28,27976
129288,SpiceJet,SG-8264,Kolkata,Night,one,Morning,Mumbai,Economy,11.67,14,7958
