Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,09/03/2019,Banglore,New Delhi,BLR → GOI → DEL,17:00,16:40 13 Mar,23h 40m,1 stop,No info,9292
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 02 May,12h 15m,1 stop,No info,13941
IndiGo,24/03/2019,Kolkata,Banglore,CCU → HYD → BLR,04:15,09:50,5h 35m,1 stop,No info,4150
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35 02 Apr,27h 35m,1 stop,No info,12681
IndiGo,3/06/2019,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,5601
Air India,21/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,08:55 22 May,23h 5m,2 stops,No info,14960
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 07 Jun,9h 30m,1 stop,No info,13377
IndiGo,21/03/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:25,1h 25m,non-stop,No info,3342
Jet Airways,6/06/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,8016
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,23:00,17h 15m,1 stop,No info,16736
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,19:40 25 Mar,22h 30m,1 stop,In-flight meal not included,10031
