Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
229416,Vistara,UK-877,Mumbai,Morning,one,Morning,Delhi,Business,22.25,44,41269
125149,AirAsia,I5-582,Kolkata,Morning,one,Evening,Delhi,Economy,10.25,35,13725
92493,AirAsia,I5-741,Bangalore,Morning,zero,Afternoon,Delhi,Economy,2.75,42,4498
142312,GO_FIRST,G8-537,Kolkata,Evening,one,Late_Night,Bangalore,Economy,7.58,48,7531
95028,Indigo,6E-332,Bangalore,Night,zero,Night,Mumbai,Economy,2.0,8,5913
64307,Indigo,6E-312,Mumbai,Early_Morning,one,Afternoon,Kolkata,Economy,6.75,17,8883
77175,Indigo,6E-461,Mumbai,Early_Morning,zero,Early_Morning,Hyderabad,Economy,1.5,49,2901
137888,Indigo,6E-7623,Kolkata,Early_Morning,one,Afternoon,Bangalore,Economy,7.67,19,4497
43472,Vistara,UK-865,Mumbai,Evening,one,Afternoon,Delhi,Economy,19.0,4,12138
210748,Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,Business,2.17,39,22152
34228,Indigo,6E-967,Delhi,Evening,zero,Evening,Hyderabad,Economy,2.25,42,3433
255095,Vistara,UK-820,Bangalore,Evening,one,Evening,Kolkata,Business,24.25,36,60508
135565,Air_India,AI-763,Kolkata,Early_Morning,one,Afternoon,Mumbai,Economy,8.92,49,6179
56307,Vistara,UK-996,Mumbai,Evening,one,Morning,Bangalore,Economy,16.33,21,6450
116219,Vistara,UK-812,Bangalore,Morning,one,Evening,Chennai,Economy,6.58,10,15667
210294,Air_India,AI-762,Delhi,Night,one,Evening,Mumbai,Business,21.58,34,59033
276091,Air_India,AI-840,Hyderabad,Night,zero,Night,Delhi,Business,2.17,28,-9999
273146,Vistara,UK-706,Kolkata,Morning,one,Night,Chennai,Business,12.5,14,55983
28365,Vistara,UK-953,Delhi,Night,one,Evening,Paris,Economy,20.25,47,6598
179526,Vistara,UK-659,Hyderabad,Morning,two_or_more,Night,Chennai,Economy,9.25,38,8175
267219,Air_India,AI-765,Kolkata,Afternoon,one,Morning,Mumbai,Business,17.42,48,43711
239017,Air_India,AI-774,Mumbai,Night,one,Night,Hyderabad,Business,24.33,16,50868
15282,??,UK-963,Delhi,Morning,one,Evening,Bangalore,Economy,10.42,27,4896
200696,Indigo,6E-6217,Chennai,Night,one,Early_Morning,Kolkata,Economy,7.33,31,2359
280495,Air_India,AI-840,Hyderabad,Night,one,Evening,Bangalore,Business,19.42,6,56590
53909,Vistara,UK-970,Mumbai,Morning,one,Night,Bangalore,Economy,14.58,8,11129
34518,AirAsia,I5-713,Delhi,Evening,one,Night,Hyderabad,Economy,3.83,44,3986
244325,Vistara,UK-928,Mumbai,Early_Morning,one,Night,Chennai,Business,13.75,41,57453
154455,Air_India,AI-698,Hyderabad,Night,one,Evening,Delhi,Economy,21.08,19,5437
246183,Vistara,UK-858,Bangalore,Early_Morning,one,Afternoon,Delhi,Business,7.83,19,42521
139544,SpiceJet,SG-406,Kolkata,Night,zero,Night,Bangalore,Economy,2.67,30,4387
239472,Vistara,UK-960,Mumbai,Morning,one,Evening,Hyderabad,Business,8.0,22,58125
270931,Air_India,AI-770,Kolkata,Night,one,Morning,Hyderabad,Business,14.0,16,52063
284154,Air_India,AI-541,Hyderabad,Evening,one,Morning,Kolkata,Business,16.75,26,51707
12109,AirAsia,I5-768,Delhi,Afternoon,one,Night,Bangalore,Economy,5.42,13,7423
177810,Indigo,6E-6366,Hyderabad,Afternoon,one,Evening,Chennai,Economy,6.25,20,4453
126498,GO_FIRST,G8-7560,Kolkata,Afternoon,one,Late_Night,Delhi,Economy,10.33,43,8089
277181,Vistara,UK-878,Hyderabad,Afternoon,one,Night,Delhi,Business,10.08,48,51875
74567,Air_India,AI-809,Mumbai,Morning,one,Evening,Hyderabad,Economy,9.33,31,4173
86516,Indigo,6E-6491,Bangalore,Afternoon,one,Evening,Delhi,Economy,NaN,14,11111
264803,Vistara,UK-776,Kolkata,Evening,zero,Night,Mumbai,Business,2.75,14,31982
196749,GO_FIRST,G8-505,Chennai,Evening,one,Night,Bangalore,Economy,4.33,38,2212
133669,Vistara,UK-776,Kolkata,Evening,zero,Night,Mumbai,Economy,2.75,38,9324
146295,Vistara,UK-772,Kolkata,Morning,two_or_more,Evening,Hyderabad,Economy,9.5,34,8220
118362,GO_FIRST,G8-510,Bangalore,Early_Morning,one,Evening,Chennai,Economy,9.67,35,3091
58810,GO_FIRST,G8-7545,Mumbai,Afternoon,zero,Afternoon,Bangalore,Economy,1.67,35,2124
67990,Vistara,UK-994,Mumbai,Morning,one,Evening,Kolkata,Economy,7.67,37,5949
284890,Vistara,UK-890,Hyderabad,Evening,one,Evening,Kolkata,Business,24.42,40,51819
50290,Air_India,AI-683,Mumbai,Night,one,Late_Night,Delhi,Economy,6.67,37,9083
141521,SpiceJet,SG-516,Kolkata,Early_Morning,zero,Morning,Bangalore, Business ,2.83,43,4145
