iter	Passed	Remaining
0	1	1890
1	2	1461
2	4	1365
3	5	1260
4	5	1182
5	6	1104
6	7	1083
7	8	1039
8	9	1008
9	9	981
10	10	972
11	11	953
12	12	940
13	13	930
14	14	922
15	14	917
16	15	924
17	16	926
18	18	932
19	18	930
20	19	927
21	20	924
22	21	918
23	22	912
24	23	910
25	24	908
26	25	908
27	26	907
28	27	909
29	27	904
30	28	898
31	29	893
32	30	892
33	31	888
34	32	888
35	33	887
36	33	884
37	34	880
38	35	885
39	36	880
40	37	875
41	38	871
42	38	866
43	39	860
44	40	856
45	41	850
46	41	846
47	42	843
48	43	841
49	44	838
50	44	834
51	45	836
52	46	832
53	47	827
54	47	822
55	48	819
56	49	818
57	53	872
58	54	870
59	55	865
60	56	862
61	56	861
62	57	858
63	58	855
64	59	852
65	60	849
66	61	861
67	63	870
68	64	873
69	65	875
70	66	875
71	67	874
72	68	871
73	70	884
74	71	884
75	72	880
76	73	878
77	74	877
78	75	877
79	76	874
80	76	872
81	77	871
82	78	869
83	79	866
84	80	865
85	81	863
86	81	860
87	82	856
88	83	854
89	84	853
90	85	851
91	86	849
92	86	847
93	87	845
94	88	843
95	89	842
96	90	840
97	91	839
98	91	837
99	92	834
100	93	831
101	94	829
102	94	827
103	95	825
104	96	824
105	97	822
106	98	820
107	99	819
108	99	816
109	100	814
110	101	813
111	102	812
112	103	811
113	104	809
114	105	808
115	106	808
116	107	808
117	107	806
118	108	805
119	109	803
120	110	802
121	111	800
122	112	799
123	112	797
124	113	796
125	114	794
126	115	792
127	116	791
128	117	790
129	117	788
130	118	786
131	119	784
132	120	783
133	121	782
134	121	781
135	122	780
136	123	779
137	124	777
138	125	776
139	126	776
140	127	774
141	128	773
142	128	772
143	129	770
144	130	770
145	131	769
146	132	767
147	133	766
148	134	766
149	135	765
150	135	763
151	136	762
152	137	760
153	138	759
154	139	758
155	140	757
156	140	756
157	141	754
158	142	754
159	143	753
160	144	752
161	145	751
162	145	749
163	146	747
164	147	747
165	148	746
166	149	745
167	150	744
168	151	743
169	151	742
170	152	741
171	153	739
172	154	739
173	155	738
174	156	737
175	157	736
176	158	735
177	159	735
178	160	734
179	161	733
180	161	732
181	162	730
182	163	729
183	164	728
184	165	727
185	166	726
186	166	725
187	167	724
188	168	723
189	169	723
190	170	721
191	171	720
192	172	719
193	173	718
194	173	717
195	174	716
196	175	714
197	176	713
198	177	715
199	178	713
200	179	712
201	180	711
202	181	710
203	181	709
204	183	709
205	183	709
206	184	708
207	185	708
208	186	706
209	187	705
210	188	704
211	189	704
212	190	702
213	191	702
214	191	700
215	193	700
216	193	699
217	194	698
218	195	696
219	196	695
220	196	694
221	197	693
222	198	692
223	199	690
224	200	689
225	201	688
226	202	687
227	202	686
228	203	685
229	204	683
230	204	682
231	205	681
232	206	680
233	207	679
234	208	677
235	209	677
236	210	676
237	210	675
238	211	673
239	212	672
240	213	671
241	214	670
242	214	669
243	215	668
244	216	667
245	217	666
246	218	665
247	218	663
248	219	662
249	220	661
250	221	660
251	222	659
252	223	658
253	223	656
254	224	655
255	225	654
256	226	653
257	226	652
258	227	651
259	228	650
260	229	649
261	230	648
262	231	647
263	231	646
264	232	645
265	233	644
266	234	643
267	235	642
268	236	641
269	237	640
270	237	639
271	238	638
