Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
180093,GO_FIRST,G8-503,Hyderabad,Morning,zero,Afternoon,Chennai,Economy,1.25,45,1543
180094,AirAsia,I5-510,Hyderabad,Early_Morning,zero,Morning,Chennai,Economy,1.25,45,1544
180095,Indigo,6E-626,Hyderabad,Afternoon,one,Evening,Chennai,Economy,4.25,45,1543
180096,Indigo,6E-882,Hyderabad,Evening,one,Night,Chennai,Economy,4.83,45,1543
180097,Indigo,6E-7062,Hyderabad,Early_Morning,one,Morning,Chennai,Economy,5.08,45,1543
180098,Indigo,6E-6366,Hyderabad,Afternoon,one,Evening,Chennai,Economy,5.92,45,1543
180099,Indigo,6E-208,Hyderabad,Evening,one,Night,Chennai,Economy,6.67,45,1543
180100,Indigo,6E-6211,Hyderabad,Early_Morning,one,Afternoon,Chennai,Economy,6.92,45,1543
180101,Indigo,6E-7118,Hyderabad,Early_Morning,one,Afternoon,Chennai,Economy,6.92,45,1543
180102,Indigo,6E-879,Hyderabad,Morning,one,Evening,Chennai,Economy,7.67,45,1543
180103,Indigo,6E-626,Hyderabad,Afternoon,one,Night,Chennai,Economy,8.83,45,1543
180104,Indigo,6E-7062,Hyderabad,Early_Morning,one,Afternoon,Chennai,Economy,8.92,45,1543
180105,Indigo,6E-6366,Hyderabad,Afternoon,one,Night,Chennai,Economy,10.5,45,1543
180106,Air_India,AI-9893,Hyderabad,Early_Morning,zero,Early_Morning,Chennai,Economy,1.5,45,1776
180107,AirAsia,I5-974,Hyderabad,Night,one,Morning,Chennai,Economy,10.25,45,1776
180108,AirAsia,I5-1518,Hyderabad,Evening,one,Morning,Chennai,Economy,12.75,45,1776
180109,Indigo,6E-514,Hyderabad,Afternoon,zero,Afternoon,Chennai,Economy,1.25,45,1788
180110,Indigo,6E-668,Hyderabad,Evening,zero,Evening,Chennai,Economy,1.25,45,1788
180111,Indigo,6E-6007,Hyderabad,Night,zero,Late_Night,Chennai,Economy,1.25,45,1788
